"","Day","Number","Full Name","Pos.","Ht.","Wt.","Class","Hometown","High School","Previous School","Twitter","Instagram","NIL"
"1",0,10,"=HYPERLINK(""https://broncosports.com/sports/football/roster/cash-herrera/14378"",""Cash Herrera"")","QB","6' 2''","202","Fr.","La Jolla, Calif.","The Bishop's School","","=HYPERLINK(""https://twitter.com/CashHerrera_1"",""@CashHerrera_1"")","=HYPERLINK(""https://instagram.com/cash.herrera1"",""@cash.herrera1"")",""
"2",1,1,"=HYPERLINK(""https://broncosports.com/sports/football/roster/boen-phelps/14247"",""Boen Phelps"")","LB","6' 1''","215","R-Jr.","Spokane, Wash.","Freeman HS","","=HYPERLINK(""https://twitter.com/BoenPhelps"",""@BoenPhelps"")","=HYPERLINK(""https://instagram.com/boenphelps_1"",""@boenphelps_1"")","boen-phelps"
"3",2,13,"=HYPERLINK(""https://broncosports.com/sports/football/roster/darren-morris/14402"",""Darren Morris"")","WR","6' 1''","183","R-Sr.","Baton Rouge, La.","Southern Lab HS","Southern","=HYPERLINK(""https://twitter.com/darren12m"",""@darren12m"")","=HYPERLINK(""https://instagram.com/ayethats_dee"",""@ayethats_dee"")",""
"4",3,14,"=HYPERLINK(""https://broncosports.com/sports/football/roster/demetrius-freeney-jr/14213"",""Demetrius Freeney Jr."")","DB","6' 0''","187","R-Sr.","San Leandro, Calif.","San Leandro HS","Arizona / Miami (FL) / College of San Mateo","=HYPERLINK(""https://twitter.com/nolimit_meech"",""@nolimit_meech"")","=HYPERLINK(""https://instagram.com/7.meech"",""@7.meech"")",""
"5",4,4,"=HYPERLINK(""https://broncosports.com/sports/football/roster/maddux-madsen/14321"",""Maddux Madsen"")","QB","5' 10''","207","R-Sr.","Lehi, Utah","American Fork HS","","=HYPERLINK(""https://twitter.com/MadduxMadsen"",""@MadduxMadsen"")","=HYPERLINK(""https://instagram.com/m4ddogmadsen"",""@m4ddogmadsen"")","maddux-madsen"
"6",5,5,"=HYPERLINK(""https://broncosports.com/sports/football/roster/jayden-virginmorgan/14357"",""Jayden Virgin-Morgan"")","EDGE","6' 3''","260","R-Sr.","San Diego, Calif.","Mt. Carmel HS","","=HYPERLINK(""https://twitter.com/jayden_virgin"",""@jayden_virgin"")","=HYPERLINK(""https://instagram.com/jayv_.5"",""@jayv_.5"")","jayden-virgin"
"7",6,15,"=HYPERLINK(""https://broncosports.com/sports/football/roster/jerico-washington-jr/14415"",""JeRico Washington Jr."")","DB","5' 9''","176","R-Jr.","Atlanta, Ga.","Westlake HS","Kennesaw State","=HYPERLINK(""https://twitter.com/Lil_RicoJr_"",""@Lil_RicoJr_"")","=HYPERLINK(""https://instagram.com/luhjun1or"",""@luhjun1or"")",""
"8",7,7,"=HYPERLINK(""https://broncosports.com/sports/football/roster/jaden-mickey/14328"",""Jaden Mickey"")","DB","6' 0''","182","R-Sr.","Eastvale, Calif.","Centennial HS","Notre Dame","=HYPERLINK(""https://twitter.com/jadenmickey_"",""@jadenmickey_"")","=HYPERLINK(""https://instagram.com/kinggmick"",""@kinggmick"")",""
"9",8,8,"=HYPERLINK(""https://broncosports.com/sports/football/roster/sherrod-smith/14344"",""Sherrod Smith"")","DB","6' 1''","185","Jr.","East Palo Alto, Calif.","Menlo-Atherton HS","College of San Mateo","=HYPERLINK(""https://twitter.com/Sherrodsmith16"",""@Sherrodsmith16"")","=HYPERLINK(""https://instagram.com/sherrod.8"",""@sherrod.8"")",""
"10",9,16,"=HYPERLINK(""https://broncosports.com/sports/football/roster/jackson-taylor/14392"",""Jackson Taylor"")","QB","6' 1''","196","Fr.","Thousand Oaks, Calif.","Thousand Oaks HS","","=HYPERLINK(""https://twitter.com/jackson7taylor"",""@jackson7taylor"")","=HYPERLINK(""https://instagram.com/jackson.7.taylor"",""@jackson.7.taylor"")",""
